mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,27.5,9,27.5,0.001,-87.486,0.0,-59.9855,0.8481,75.2,7,7,7,2,7 8,3,1,0.086,7,2,0.09,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,0,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.3,6,6,6,2,7 8,2,1,0.025,6,2,0.075,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,30.0,1,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.4,6,6,6,2,7 8,2,1,0.01,6,2,0.083,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,2,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.5,6,6,6,2,7 8,2,1,0.024,6,2,0.081,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,3,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.6,6,6,6,2,7 8,2,1,0.004,6,2,0.076,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,4,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.7,6,6,6,2,7 8,2,1,0.01,6,2,0.07,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,5,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.8,6,6,6,2,7 8,2,1,0.003,6,2,0.074,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,6,30.0,0.001,-89.986,0.0,-59.9855,0.8481,75.9,6,6,6,2,7 8,2,1,0.003,6,2,0.084,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,7,30.0,0.001,-89.986,0.0,-59.9855,0.8481,76.0,6,6,6,2,7 8,2,1,0.018,6,2,0.081,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,8,30.0,0.001,-89.986,0.0,-59.9855,0.8481,76.1,6,6,6,2,7 8,2,1,0.002,6,2,0.066,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,30.0,9,30.0,0.001,-89.986,0.0,-59.9855,0.8481,76.2,6,6,6,2,7 8,2,1,0.003,6,2,0.068,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,0,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.3,6,6,6,2,7 8,2,1,0.004,6,2,0.052,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,32.5,1,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.4,6,6,6,2,7 8,2,1,0.003,6,2,0.07,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,2,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.5,6,6,6,2,7 8,2,1,0.033,6,2,0.067,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,3,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.6,6,6,6,2,7 8,2,1,0.007,6,2,0.058,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,4,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.7,6,6,6,2,7 8,2,1,0.026,6,2,0.078,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,5,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.8,6,6,6,2,7 8,2,1,0.001,6,2,0.069,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,6,32.5,0.001,-92.486,0.0,-59.9855,0.8481,76.9,6,6,6,2,7 8,2,1,0.015,6,2,0.053,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,7,32.5,0.001,-92.486,0.0,-59.9855,0.8481,77.0,6,6,6,2,7 8,2,1,0.002,6,2,0.066,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,32.5,8,32.5,0.001,-92.486,0.0,-59.9855,0.8481,77.1,6,6,6,2,7 8,4,1,0.082,6,2,0.045,0,0,0,0,1,0,0,0,0,1,1
